pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,10/2/15,90,-3.02,6.21,"Arrieta, Jake",516416,453562,,foul,,,,,9,"Jean Segura grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,S,,,1,0,2015,0.72,0.42,0.78,1.95,,,,0,5,Bot,,,,,471083,,151002_204903,8.571,-130.758,-5.957,6.687,23.419,-26.514,3.37,1.53,278,80.7,27,90,2738,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,39,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,,0,-0.042
FF,10/2/15,94.8,-2.79,6.52,"Arrieta, Jake",516416,453562,,ball,,,,,11,"Jean Segura grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,R,R,MIL,CHC,B,,,0,0,2015,-1.05,1.32,-1.49,3.8,,,,0,5,Bot,,,,,471083,,151002_204837,6.223,-137.749,-4.648,-14.562,32.475,-14.834,3.37,1.62,,,,94.4,2533,6.3,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,39,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,,0,0.033
SL,10/2/15,90.5,-3.2,6.16,"Arrieta, Jake",570267,453562,strikeout,swinging_strike,,,,,8,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,S,2,,3,2,2015,0.7,0.17,0.01,2.02,,,501981,2,4,Bot,,,,,471083,,151002_202706,7.08,-131.583,-5.209,6.856,23.364,-29.417,3.86,1.73,,,,90.8,2567,6.2,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,0,1,0,0,,31,6,Slider,0,2,0,2,2,0,0,2,Standard,Standard,,-0.029,-0.263
SL,10/2/15,88.9,-3.12,6.22,"Arrieta, Jake",570267,453562,,called_strike,,,,,12,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,S,,,3,1,2015,1,0.19,0.83,2.81,,,501981,2,4,Bot,,,,,471083,,151002_202638,8.269,-129.22,-2.987,9.69,23.022,-29.73,3.84,1.73,,,,88.9,2594,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,31,5,Slider,0,2,0,2,2,0,0,2,Standard,Standard,,0,-0.063
SI,10/2/15,96,-2.79,6.36,"Arrieta, Jake",570267,453562,,ball,,,,,2,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,B,,,2,1,2015,-1.24,0.92,-0.23,3.74,,,501981,2,4,Bot,,,,,471083,,151002_202611,10.387,-139.402,-3.626,-18.291,31.627,-19.735,3.86,1.82,,,,95.8,2355,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,31,4,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,0,0.077
SI,10/2/15,96.8,-2.89,6.31,"Arrieta, Jake",570267,453562,,foul,,,,,4,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,S,,,2,0,2015,-0.96,1.11,-0.71,3.15,,,501981,2,4,Bot,,,,,471083,,151002_202541,8.701,-140.618,-5.74,-14.658,34.044,-16.544,3.86,1.73,,,,96.2,2362,6.3,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,31,3,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,0,-0.047
SI,10/2/15,96.3,-2.62,6.24,"Arrieta, Jake",570267,453562,,ball,,,,,14,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,B,,,1,0,2015,-1.28,0.92,1.44,2.32,,,501981,2,4,Bot,,,,,471083,,151002_202515,14.748,-139.299,-7.283,-19.923,33.149,-18.972,3.86,1.82,,,,96,2370,6.6,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,31,2,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,0,0.041
SI,10/2/15,96.6,-2.8,6.18,"Arrieta, Jake",570267,453562,,ball,,,,,14,Domingo Santana strikes out swinging.,R,R,R,MIL,CHC,B,,,0,0,2015,-1.19,1.01,1.19,2.04,,,501981,2,4,Bot,,,,,471083,,151002_202453,14.376,-139.699,-8.139,-18.987,37.385,-17.355,3.84,1.78,,,,95.3,2327,6.4,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,31,1,Sinker,0,2,0,2,2,0,0,2,Strategic,Standard,,0,0.032
SL,10/2/15,90.5,-3.16,6.34,"Arrieta, Jake",501981,453562,single,hit_into_play,,,,,5,Khris Davis singles on a line drive to center fielder Dexter Fowler.,R,R,R,MIL,CHC,X,8,line_drive,1,0,2015,0.79,0.12,0.27,2.32,,,,2,4,Bot,137.21,107.74,,,471083,,151002_202412,7.463,-131.614,-4.682,7.5,27.332,-30.075,3.48,1.54,223,79.2,20,90.2,2669,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.867,0.801,0.9,1,1,0,4,30,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,,0.016,0.109
CU,10/2/15,80.4,-2.89,6.43,"Arrieta, Jake",501981,453562,,ball,,,,,14,Khris Davis singles on a line drive to center fielder Dexter Fowler.,R,R,R,MIL,CHC,B,,,0,0,2015,0.77,-1.51,1.02,0.12,,,,2,4,Bot,,,,,471083,,151002_202352,7.799,-116.617,-4.622,5.247,24.834,-44.943,3.48,1.66,,,,79.1,2723,5.9,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,30,1,Curveball,0,2,0,2,2,0,0,2,Standard,Standard,,0,0.014
SL,10/2/15,90.9,-3.05,6.38,"Arrieta, Jake",452252,453562,field_out,hit_into_play,,,,,6,"Adam Lind grounds out, second baseman Starlin Castro to pitcher Jake Arrieta.",R,L,R,MIL,CHC,X,4,ground_ball,0,0,2015,0.7,-0.04,0.8,2.58,,,,1,4,Bot,148.9,159.06,,,471083,,151002_202307,8.862,-132.127,-3.825,6.392,25.496,-32.097,3.52,1.57,9,77.5,-15,91,2573,6.2,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.08,0.079,0,1,0,0,2,29,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,,-0.019,-0.155
SI,10/2/15,95.9,-2.78,6.2,"Arrieta, Jake",502582,453562,strikeout,called_strike,,,,,6,Logan Schafer called out on strikes.,R,L,R,MIL,CHC,S,2,,1,2,2015,-0.91,1.09,0.64,2.24,,,,0,4,Bot,,,,,471083,,151002_202231,11.965,-138.958,-7.813,-14.333,31.825,-16.64,3.26,1.49,,,,95.6,2316,6.5,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,0,1,0,0,,28,4,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,-0.029,-0.165
SI,10/2/15,95.5,-2.73,6.24,"Arrieta, Jake",502582,453562,,foul,,,,,5,Logan Schafer called out on strikes.,R,L,R,MIL,CHC,S,,,1,1,2015,-1.22,1.14,-0.04,2.23,,,,0,4,Bot,,,,,471083,,151002_202200,10.623,-138.371,-8.016,-17.875,30.495,-16.174,3.23,1.37,277,90.2,46,95.7,2428,6.6,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,28,3,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,0,-0.05
CH,10/2/15,88.6,-3.31,6.16,"Arrieta, Jake",502582,453562,,ball,,,,,13,Logan Schafer called out on strikes.,R,L,R,MIL,CHC,B,,,0,1,2015,-1.55,0.51,-1.31,1.95,,,,0,4,Bot,,,,,471083,,151002_202141,8.776,-128.685,-5.664,-18.86,26.102,-25.69,3.34,1.49,,,,88,2151,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,28,2,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,,0,0.023
SI,10/2/15,94.7,-2.91,6.15,"Arrieta, Jake",502582,453562,,called_strike,,,,,13,Logan Schafer called out on strikes.,R,L,R,MIL,CHC,S,,,0,0,2015,-1.24,0.82,-0.73,1.3,,,,0,4,Bot,,,,,471083,,151002_202121,9.148,-137.252,-9.404,-17.546,30.836,-20.114,3.34,1.44,,,,94.6,2380,6.5,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,28,1,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,,0,-0.032
SI,10/2/15,96.3,-2.7,6.3,"Arrieta, Jake",571697,453562,field_out,hit_into_play,,,,,4,"Scooter Gennett grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,L,R,MIL,CHC,X,4,ground_ball,2,1,2015,-1.08,0.95,-0.33,2.18,,,,2,3,Bot,143.82,166.18,,,471083,,151002_200440,9.471,-139.677,-8.038,-16.15,32.129,-18.32,3.15,1.45,3,76.4,-36,96.7,2310,6.8,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.06,0.054,0,1,0,0,2,21,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,,-0.013,-0.111
SI,10/2/15,95.4,-2.98,6.33,"Arrieta, Jake",571697,453562,,called_strike,,,,,11,"Scooter Gennett grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,L,R,MIL,CHC,S,,,2,0,2015,-1.03,0.87,-1.29,3.04,,,,2,3,Bot,,,,,471083,,151002_200423,7.313,-138.57,-5.361,-14.734,29.758,-20.102,3.26,1.57,,,,96,2351,6.7,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,21,3,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,,0,-0.027
CH,10/2/15,90,-3.11,6,"Arrieta, Jake",571697,453562,,ball,,,,,14,"Scooter Gennett grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,L,R,MIL,CHC,B,,,1,0,2015,-1.46,0.5,0.87,-0.17,,,,2,3,Bot,,,,,471083,,151002_200359,13.946,-129.86,-11.001,-19.287,28.139,-24.486,3.22,1.57,,,,89.3,2060,6.5,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,21,2,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,,0,0.025
FF,10/2/15,95.5,-2.9,6.15,"Arrieta, Jake",571697,453562,,ball,,,,,14,"Scooter Gennett grounds out, second baseman Starlin Castro to first baseman Anthony Rizzo.",R,L,R,MIL,CHC,B,,,0,0,2015,-0.87,1.39,0.96,1.55,,,,2,3,Bot,,,,,471083,,151002_200347,13.049,-138.012,-10.231,-13.784,30.11,-12.621,3.22,1.61,,,,95.7,,6.8,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,21,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,,0,0.014
SI,10/2/15,95.4,-2.73,6.33,"Arrieta, Jake",516414,453562,field_out,hit_into_play,,,,,5,"Ariel Pena grounds out, first baseman Anthony Rizzo to pitcher Jake Arrieta.",R,R,R,MIL,CHC,X,3,ground_ball,0,0,2015,-1.06,0.94,0.1,2.85,,,,1,3,Bot,149.92,165.67,,,471083,,151002_200253,10.633,-138.353,-5.995,-15.949,32.435,-19.104,3.56,1.62,27,78.4,-5,95.7,2297,6.8,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,0.087,0.078,0,1,0,0,2,20,1,Sinker,0,1,0,1,1,0,0,1,Strategic,Strategic,,-0.019,-0.155
CU,10/2/15,81.5,-2.92,6.49,"Arrieta, Jake",502213,453562,strikeout,swinging_strike_blocked,,,,,14,Nevin Ashley strikes out swinging.,R,R,R,MIL,CHC,S,2,,1,2,2015,0.82,-1.64,0.6,0.54,,,,0,3,Bot,,,,,471083,,151002_200224,6.874,-118.375,-3.748,5.944,27.187,-46.55,3.37,1.48,,,,80,2829,5.9,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,0,1,0,0,,19,4,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,,-0.027,-0.165
SI,10/2/15,94.8,-2.69,6.45,"Arrieta, Jake",502213,453562,,called_strike,,,,,3,Nevin Ashley strikes out swinging.,R,R,R,MIL,CHC,S,,,1,1,2015,-1.28,1.11,0.67,3.01,,,,0,3,Bot,,,,,471083,,151002_200206,12.563,-137.29,-6.133,-18.853,31.741,-17.211,3.31,1.53,,,,94,2345,6.2,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,19,3,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,,0,-0.05
SL,10/2/15,89,-3.04,6.15,"Arrieta, Jake",502213,453562,,ball,,,,,14,Nevin Ashley strikes out swinging.,R,R,R,MIL,CHC,B,,,0,1,2015,0.51,-0.26,1.54,0.2,,,,0,3,Bot,,,,,471083,,151002_200144,11.022,-128.944,-8.586,3.436,25.662,-33.578,3.31,1.57,,,,88.4,1272,6.1,416037,453562,471083,519203,516770,600303,608365,592178,451594,656941,50,,,,,,,,19,2,Slider,0,1,0,1,1,0,0,1,Standard,Standard,,0,0.023
